Acquired on 3/23/2026 at 20:45:11
Calibrated on 2/21/2023 at 03:14:48
Device Descriptor:  [none]
Scan Range (nm):  1545.445  --  1588.034
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100209
Frequency domain window was not applied to measurement data.
Gage length:  1.000766 cm
Sensor spacing:  0.099884 cm
Number of Data Points (in this file):  41648
NOTE: Data stored in this file is not decimated.

Length (m)	Length (m)	Amplitude (dB/mm)	Spectral Shift (GHz)	Spectral Shift Quality	
2.59452057E+000	2.72491789E+000	-1.06813873E+002	-1.30057106E+001	5.18185318E-001	
2.59453964E+000	2.72591662E+000	-1.06281509E+002	-1.30581160E+001	5.03757179E-001	
2.59455895E+000	2.72691560E+000	-1.06074020E+002	-1.37610846E+001	5.24055958E-001	
2.59457803E+000	2.72791433E+000	-1.05901268E+002	-1.36023197E+001	5.34466147E-001	
2.59459734E+000	2.72891331E+000	-1.08745102E+002	-1.31415291E+001	5.48602283E-001	
2.59461641E+000	2.72991204E+000	-1.08948151E+002	-1.30782709E+001	5.20380616E-001	
2.59463573E+000	2.73091078E+000	-1.09244652E+002	-1.30215244E+001	4.93955135E-001	
2.59465504E+000	2.73190975E+000	-1.09821442E+002	-1.30063305E+001	4.68834609E-001	
2.59467411E+000	2.73290849E+000	-1.10262314E+002	-1.35750322E+001	5.17290890E-001	
2.59469342E+000	2.73390746E+000	-1.09300583E+002	-1.36010799E+001	5.23855746E-001	
2.59471250E+000	2.73490620E+000	-1.09381058E+002	-1.31223040E+001	4.83816087E-001	
2.59473181E+000	2.73590517E+000	-1.07604332E+002	-1.26819792E+001	5.14343739E-001	
2.59475088E+000	2.73690391E+000	-1.06984131E+002	-1.26184101E+001	5.05277991E-001	
2.59477019E+000	2.73790288E+000	-1.06693764E+002	-1.26410475E+001	5.16563416E-001	
2.59478951E+000	2.73890162E+000	-1.07104279E+002	-1.28168669E+001	5.35291433E-001	
2.59480858E+000	2.73990059E+000	-1.07592697E+002	-1.35424719E+001	5.48857152E-001	
2.59482789E+000	2.74089932E+000	-1.09299171E+002	-1.36063519E+001	5.65848351E-001	
2.59484696E+000	2.74189830E+000	-1.07523651E+002	-1.29368715E+001	5.58955669E-001	
2.59486628E+000	2.74289703E+000	-1.07991684E+002	-1.29458628E+001	5.13497829E-001	
2.59488535E+000	2.74389577E+000	-1.06308838E+002	-1.27740755E+001	5.16473591E-001	
2.59490466E+000	2.74489474E+000	-1.06008148E+002	-1.25821304E+001	5.53518295E-001	
2.59492397E+000	2.74589348E+000	-1.06489655E+002	-1.27923698E+001	5.85808516E-001	
2.59494305E+000	2.74689245E+000	-1.07906097E+002	-1.27424450E+001	5.84151089E-001	
2.59496236E+000	2.74789119E+000	-1.06962502E+002	-1.27439966E+001	5.74457288E-001	
2.59498143E+000	2.74889016E+000	-1.09121262E+002	-1.29089632E+001	5.77817917E-001	
2.59500074E+000	2.74988890E+000	-1.09655258E+002	-1.36838722E+001	5.19018173E-001	
2.59501982E+000	2.75088787E+000	-1.09160553E+002	-1.37567434E+001	5.12674570E-001	
2.59503913E+000	2.75188661E+000	-1.07602264E+002	-1.36128626E+001	5.46704769E-001	
2.59505844E+000	2.75288558E+000	-1.08848892E+002	-1.30726900E+001	5.56561530E-001	
2.59507751E+000	2.75388432E+000	-1.08236328E+002	-1.30491228E+001	6.04965568E-001	
2.59509683E+000	2.75488305E+000	-1.07752907E+002	-1.29421415E+001	6.10209048E-001	
2.59511590E+000	2.75588202E+000	-1.08226006E+002	-1.30218353E+001	5.92112243E-001	
2.59513521E+000	2.75688076E+000	-1.08748138E+002	-1.28804350E+001	6.21292949E-001	
2.59515429E+000	2.75787973E+000	-1.08423965E+002	-1.29871054E+001	5.97515404E-001	
2.59517360E+000	2.75887847E+000	-1.04581757E+002	-1.29018316E+001	5.80529511E-001	
2.59519267E+000	2.75987744E+000	-1.04524597E+002	-1.27250805E+001	5.42501211E-001	
2.59521198E+000	2.76087618E+000	-1.03903648E+002	-1.26060066E+001	5.03330827E-001	
2.59523129E+000	2.76187515E+000	-1.04067596E+002	-1.26711264E+001	5.38635075E-001	
2.59525037E+000	2.76287389E+000	-1.03642685E+002	-1.28581085E+001	5.40095031E-001	
2.59526968E+000	2.76387286E+000	-1.05654907E+002	-1.28863258E+001	5.64461648E-001	
2.59528875E+000	2.76487160E+000	-1.05828545E+002	-1.28720636E+001	5.67682683E-001	
2.59530807E+000	2.76587057E+000	-1.06871994E+002	-1.28484964E+001	5.73928416E-001	
2.59532714E+000	2.76686931E+000	-1.06556259E+002	-1.29312897E+001	5.64624250E-001	
2.59534645E+000	2.76786804E+000	-1.06687592E+002	-1.30376492E+001	6.06815159E-001	
2.59536576E+000	2.76886702E+000	-1.06572052E+002	-1.30165634E+001	5.77547550E-001	
2.59538484E+000	2.76986575E+000	-1.06835213E+002	-1.29740820E+001	5.63803613E-001	
2.59540415E+000	2.77086473E+000	-1.06828072E+002	-1.27998123E+001	5.63458741E-001	
2.59542322E+000	2.77186346E+000	-1.08325470E+002	-1.27247705E+001	5.64910829E-001	
2.59544253E+000	2.77286243E+000	-1.09705193E+002	-1.35068130E+001	5.38246572E-001	
2.59546161E+000	2.77386117E+000	-1.14417816E+002	-1.35840254E+001	5.52736104E-001	
2.59548092E+000	2.77486014E+000	-1.10291046E+002	-1.34785957E+001	5.94889343E-001	
2.59550023E+000	2.77585888E+000	-1.08784599E+002	-1.28615189E+001	5.85516989E-001	
2.59551930E+000	2.77685785E+000	-1.07637589E+002	-1.29114437E+001	5.90568781E-001	
2.59553862E+000	2.77785659E+000	-1.08203857E+002	-1.30246267E+001	5.70009291E-001	
2.59555769E+000	2.77885532E+000	-1.06877205E+002	-1.35970478E+001	5.44578969E-001	
2.59557700E+000	2.77985430E+000	-1.07784470E+002	-1.29694300E+001	5.67751527E-001	
2.59559608E+000	2.78085303E+000	-1.07600777E+002	-1.30125322E+001	5.56801975E-001	
2.59561539E+000	2.78185201E+000	-1.07991241E+002	-1.36302280E+001	5.49356520E-001	
2.59563470E+000	2.78285074E+000	-1.07895981E+002	-1.31660271E+001	5.24181366E-001	
