target,mae,rmse,r2,max_abs,n_samples,model,T_holdout,RH_holdout
T,0.13921608612243475,0.1460734246914057,0.0,0.21402402352390482,20,lasso,45,50
RH,1.5354033984038065,1.651871907222807,0.0,2.9686428115962613,20,lasso,45,50
T,0.15628367608841387,0.17058755380784874,0.0,0.31133910495579187,20,lasso,45,60
RH,0.8978985537903611,0.973778149243126,0.0,1.8566166348348858,20,lasso,45,60
T,0.14236200185307837,0.15620839913590473,0.0,0.27993305706302607,20,lasso,45,70
RH,1.3584102384360648,1.4482557397353277,0.0,2.1559236535906194,20,lasso,45,70
T,0.15243006198468834,0.16467953346515962,0.0,0.25603799409644523,20,lasso,45,80
RH,1.1777810212790834,1.3717553420251911,0.0,2.3261693157482455,20,lasso,45,80
T,0.05873627219566444,0.07718731946603771,0.0,0.1872698363435319,20,lasso,55,20
RH,2.3983460122958262,2.5003058571607073,0.0,3.7739011468111343,20,lasso,55,20
T,0.44595187233314026,0.45270585744153286,0.0,0.6241805176311104,20,lasso,55,30
RH,1.6735372501708035,1.7117640961942313,0.0,2.243808716863832,20,lasso,55,30
T,0.26201951218709885,0.2677603064702146,0.0,0.3505082143225522,20,lasso,55,40
RH,0.41099204349559104,0.47649542559188135,0.0,0.9376675945156592,20,lasso,55,40
T,0.0810885212114556,0.09618362656551224,0.0,0.19848815028346678,20,lasso,55,50
RH,0.6568592970920492,0.8328663033812378,0.0,1.6881476586752413,20,lasso,55,50
T,0.05691577229635456,0.06796041213887971,0.0,0.15006929434935046,20,lasso,55,60
RH,0.8989418037220854,1.097722622497367,0.0,2.3763100987676893,20,lasso,55,60
T,0.038058571538927666,0.04842841463152584,0.0,0.10123502283985175,20,lasso,55,70
RH,1.2463619850293057,1.5890873952932887,0.0,3.859749702307454,20,lasso,55,70
T,0.036065174192802016,0.045159798880584426,0.0,0.11743281103705527,20,lasso,55,80
RH,0.9125437210143879,1.1189953404806152,0.0,2.1251974354909464,20,lasso,55,80
T,0.06876165414536288,0.08119976582268752,0.0,0.1363989717073366,20,lasso,65,20
RH,3.108914122561841,3.149896015352858,0.0,4.052020959514312,20,lasso,65,20
T,0.10458829130161931,0.11581261408882151,0.0,0.18124806165462815,20,lasso,65,30
RH,1.7880063148464445,2.035896931874251,0.0,3.1669016953138467,20,lasso,65,30
