T,RH,target,mae,rmse,max_abs,n_samples,model
75,60,T,0.13082471132566317,0.14116269928357764,0.19978422301674925,3,lasso
75,70,RH,1.1037853466542817,1.3364716044549882,1.993589503048753,3,lasso
75,70,T,0.16011753040597418,0.20793889109090274,0.3392135444822202,3,lasso
75,80,RH,1.0074751675785478,1.1706486856091574,1.7660819176200278,3,lasso
75,80,T,0.20085856440815064,0.2042800392863028,0.24174973458733007,3,lasso
35,20,RH,4.3570370370370375,4.495794834444254,5.788888888888891,3,random_forest
35,20,T,0.01111111111111048,0.019245008972986432,0.03333333333333144,3,random_forest
35,30,RH,0.8518518518518535,1.012270397682702,1.5555555555555607,3,random_forest
35,30,T,0.020000000000000757,0.03464101615137886,0.060000000000002274,3,random_forest
35,40,RH,0.04444444444444429,0.04714045207910384,0.06666666666666998,3,random_forest
35,40,T,0.04444444444444429,0.04714045207910384,0.06666666666666998,3,random_forest
35,50,RH,0.25555555555555526,0.3872983346207405,0.6666666666666643,3,random_forest
35,50,T,0.06666666666666761,0.07200822998231095,0.10000000000000142,3,random_forest
35,60,RH,1.1777777777777796,1.753303759784389,3.0,3,random_forest
35,60,T,0.0777777777777781,0.11706281947614298,0.20000000000000284,3,random_forest
35,70,RH,0.06666666666666288,0.0680413817439733,0.0833333333333286,3,random_forest
35,70,T,0.11481481481481855,0.11872089203574142,0.15555555555555856,3,random_forest
35,80,RH,0.027777777777776198,0.048112522432466075,0.0833333333333286,3,random_forest
35,80,T,0.01666666666666572,0.021516574145595536,0.03333333333333144,3,random_forest
45,20,RH,0.9166666666666666,1.0023916872411722,1.2611111111111093,3,random_forest
45,20,T,0.3277777777777781,0.4021838532957923,0.6499999999999986,3,random_forest
45,30,RH,0.32314814814814713,0.5052833007252141,0.86944444444444,3,random_forest
45,30,T,0.07222222222222048,0.10758287072798173,0.18333333333333002,3,random_forest
45,40,RH,0.04074074074074,0.05309359698826427,0.08888888888888857,3,random_forest
45,40,T,0.003703703703704283,0.006415002990996845,0.011111111111112848,3,random_forest
45,50,RH,0.17777777777777715,0.2054804667656324,0.2666666666666657,3,random_forest
45,50,T,0.06111111111111237,0.0716860438920236,0.09166666666666856,3,random_forest
45,60,RH,0.1814814814814909,0.2215266893041957,0.3611111111111214,3,random_forest
45,60,T,0.12222222222222474,0.12331164307101368,0.13888888888889284,3,random_forest
45,70,RH,0.8097883597883566,1.2778097370218542,2.2071428571428413,3,random_forest
45,70,T,0.3009259259259238,0.3539060406332539,0.5111111111111057,3,random_forest
45,80,RH,0.22777777777777905,0.27705461421759486,0.45000000000000284,3,random_forest
45,80,T,0.027777777777778567,0.039674602380795336,0.06666666666666998,3,random_forest
55,20,RH,0.25555555555555526,0.4426352063787125,0.7666666666666657,3,random_forest
55,20,T,0.01111111111111048,0.019245008972986432,0.03333333333333144,3,random_forest
55,30,RH,0.0805555555555569,0.10463782334354166,0.1750000000000007,3,random_forest
55,30,T,0.041666666666666664,0.054645321035850875,0.09166666666666856,3,random_forest
55,40,RH,0.3318518518518516,0.42019395874162996,0.6422222222222231,3,random_forest
55,40,T,0.027777777777776198,0.03402069087198665,0.0416666666666643,3,random_forest
55,50,RH,0.937777777777787,1.4337702463580422,2.4577777777777996,3,random_forest
55,50,T,0.08148148148148238,0.10618719397652926,0.1666666666666643,3,random_forest
55,60,RH,0.49074074074073576,0.8182398553635403,1.4166666666666643,3,random_forest
55,60,T,0.2777777777777762,0.3380225721150261,0.5499999999999972,3,random_forest
55,70,RH,0.01666666666666572,0.028867513459479646,0.04999999999999716,3,random_forest
55,70,T,0.024074074074074286,0.0295717026345769,0.038888888888891415,3,random_forest
55,80,RH,0.4111111111111067,0.49684187811802544,0.61666666666666,3,random_forest
55,80,T,0.035185185185184764,0.04095063775462008,0.04999999999999716,3,random_forest
65,20,RH,0.5555555555555548,0.8546170899124172,1.466666666666665,3,random_forest
65,20,T,0.1666666666666714,0.1688742683730118,0.20000000000000284,3,random_forest
65,30,RH,3.022222222222222,4.952440475832765,8.566666666666666,3,random_forest
65,30,T,0.37777777777777527,0.6170419278628787,1.0666666666666629,3,random_forest
65,40,RH,1.5444444444444443,1.841597535152965,2.93333333333333,3,random_forest
65,40,T,0.5444444444444466,0.6962864459508177,1.13333333333334,3,random_forest
65,50,RH,0.01111111111111048,0.019245008972986432,0.03333333333333144,3,random_forest
65,50,T,0.04444444444444665,0.07698003589195393,0.13333333333333997,3,random_forest
65,60,RH,0.01111111111111048,0.019245008972986432,0.03333333333333144,3,random_forest
65,60,T,0.0,0.0,0.0,3,random_forest
65,70,RH,0.04444444444444192,0.04714045207910049,0.06666666666666288,3,random_forest
65,70,T,0.055555555555552395,0.06938886664886715,0.09999999999999432,3,random_forest
65,80,RH,0.04444444444444192,0.04714045207910049,0.06666666666666288,3,random_forest
65,80,T,0.00555555555555524,0.009622504486493216,0.01666666666666572,3,random_forest
75,20,RH,0.366666666666666,0.38538100435610206,0.466666666666665,3,random_forest
75,20,T,0.03333333333333144,0.03333333333333144,0.03333333333333144,3,random_forest
75,30,RH,0.43333333333333357,0.5446711546122733,0.8000000000000007,3,random_forest
75,30,T,0.0777777777777781,0.11706281947614298,0.20000000000000284,3,random_forest
75,40,RH,0.06666666666666761,0.08606629658238765,0.13333333333333286,3,random_forest
75,40,T,0.01111111111111048,0.019245008972986432,0.03333333333333144,3,random_forest
75,50,RH,0.08888888888888857,0.11221672153735568,0.1666666666666643,3,random_forest
75,50,T,0.055555555555557135,0.09622504486494037,0.1666666666666714,3,random_forest
75,60,RH,0.0,0.0,0.0,3,random_forest
75,60,T,0.0,0.0,0.0,3,random_forest
75,70,RH,0.055555555555552395,0.05773502691895929,0.06666666666666288,3,random_forest
75,70,T,0.055555555555557135,0.07934920476159067,0.13333333333333997,3,random_forest
75,80,RH,0.01111111111111048,0.019245008972986432,0.03333333333333144,3,random_forest
75,80,T,0.0,0.0,0.0,3,random_forest
35,20,RH,6.5070617050121085,7.093265333176889,10.477991990333756,3,gradient_boosting
35,20,T,4.150606699226955e-06,4.150606699226955e-06,4.150606699226955e-06,3,gradient_boosting
35,30,RH,0.46976214781146197,0.6051440442685124,0.9818679651893447,3,gradient_boosting
35,30,T,4.150606699226955e-06,4.150606699226955e-06,4.150606699226955e-06,3,gradient_boosting
35,40,RH,0.17688187525550583,0.21219026473555003,0.28633066015441955,3,gradient_boosting
35,40,T,4.150606692121528e-06,4.150606692121528e-06,4.150606692121528e-06,3,gradient_boosting
35,50,RH,0.6408734074728718,0.7264350320252169,0.9477533432571761,3,gradient_boosting
35,50,T,4.150606692121528e-06,4.150606692121528e-06,4.150606692121528e-06,3,gradient_boosting
35,60,RH,4.195157141627175,4.59430610792005,5.645660670444393,3,gradient_boosting
35,60,T,4.150606692121528e-06,4.150606692121528e-06,4.150606692121528e-06,3,gradient_boosting
35,70,RH,0.4583982259437107,0.5100178383817682,0.7027876101673485,3,gradient_boosting
